label,num,sentence,alternative,group
adverb_high,49,"Anne will serve the apples she picked tomorrow, but she won't serve the plums.","x-x-x goal birds box evolve sin camera handling, non arm banks floor met cadre.",list1
adverb_low,49,"Anne will serve the apples she picked yesterday, but she won't serve the plums.","x-x-x goal birds box evolve sin camera handling, non arm banks floor met cadre.",list2
adverb_high,50,"Robert will meet the friend he phoned tomorrow, but he doesn't want to.","x-x-x lose wood did across eat skewed sympathy, net thy parties role won.",list2
adverb_low,50,"Robert will meet the friend he phoned yesterday, but he doesn't want to.","x-x-x lose wood did across eat skewed sympathy, net thy parties role won.",list1
adverb_high,51,"David caught the fish he will cook yesterday, but it is not his favorite kind.","x-x-x temple buy till ago coal tons morality, ago map me am sum explains grew.",list1
adverb_low,51,"David caught the fish he will cook tomorrow, but it is not his favorite kind.","x-x-x temple buy till ago coal tons morality, ago map me am sum explains grew.",list2
adverb_high,52,"Sue insulted the candidate she will debate yesterday, but she wishes she hadn't.","x-x-x fabulous map preparing buy room dreams deposits, thy sun namely dog treaty.",list2
adverb_low,52,"Sue insulted the candidate she will debate tomorrow, but she wishes she hadn't.","x-x-x fabulous map preparing buy room dreams deposits, thy sun namely dog treaty.",list1
adverb_high,53,"Jane prepared the lecture she will give last week, but still needs to review it.","x-x-x numerous sun advised add lack city evil wild, map metal crown dog crisis sea.",list1
adverb_low,53,"Jane prepared the lecture she will give next week, but still needs to review it.","x-x-x numerous sun advised add lack city evil wild, map metal crown dog crisis sea.",list2
adverb_high,54,"Joseph brewed the beer he will serve last week, but it is not very tasty.","x-x-x clowns bit hers lie bone tools root lack, thy sky sum aid user tolls.",list2
adverb_low,54,"Joseph brewed the beer he will serve next week, but it is not very tasty.","x-x-x clowns bit hers lie bone tools root lack, thy sky sum aid user tolls.",list1
adverb_high,55,"Tom will plant the tree he bought next week, but he isn't sure where to put it.","x-x-x cash goods sum hear why rivers mean weak, thy thy plain week brief own joy ask.",list1
adverb_low,55,"Tom will plant the tree he bought last week, but he isn't sure where to put it.","x-x-x cash goods sum hear why rivers mean weak, thy thy plain week brief own joy ask.",list2
adverb_high,56,"Lisa will change the plans she made next week, but she won't cancel any of them.","x-x-x pure tissue non comes non coal loss wood, sky sky types graphs ill sky data.",list2
adverb_low,56,"Lisa will change the plans she made last week, but she won't cancel any of them.","x-x-x pure tissue non comes non coal loss wood, sky sky types graphs ill sky data.",list1
adverb_high,57,"Jeff planned the party he will hold last month, but he hasn't sent invitations.","x-x-x altered dry whose me dear port sort birds, joy thy worker mere mischievous.",list1
adverb_low,57,"Jeff planned the party he will hold next month, but he hasn't sent invitations.","x-x-x altered dry whose me dear port sort birds, joy thy worker mere mischievous.",list2
adverb_high,58,"Dan wrote the speech he will deliver last month, but he hasn't practiced it yet.","x-x-x prime sum showed mid mark dynamic poet fluid, sin thy colony deviation net oil.",list2 
adverb_low,58,"Dan wrote the speech he will deliver next month, but he hasn't practiced it yet.","x-x-x prime sum showed mid mark dynamic poet fluid, sin thy colony deviation net oil.",list1
adverb_high,59,"Paul will marry the woman he just met next month, but the wedding will be small.","x-x-x body cable ad firms air self art fine sound, tax mid pushing ways sea reach.",list1
adverb_low,59,"Paul will marry the woman he just met last month, but the wedding will be small.","x-x-x body cable ad firms air self art fine sound, tax mid pushing ways sea reach.",list2
adverb_high,60,"Amy will visit the man she worked with next month, but she is nervous about it.","x-x-x girl goods ran met joy tissue pair mark ratio, arm thy hot operate media sat.",list2
adverb_low,60,"Amy will visit the man she worked with last month, but she is nervous about it.","x-x-x girl goods ran met joy tissue pair mark ratio, arm thy hot operate media sat.",list1
adverb_high,61,"Linda will wear the sweater she washed tomorrow, but she won't wear her skirt.","x-x-x wind puts try rebuked lie worlds sympathy, ago net agent bird tax vices.",list1
adverb_low,61,"Linda will wear the sweater she washed yesterday, but she won't wear her skirt.","x-x-x wind puts try rebuked lie worlds sympathy, ago net agent bird tax vices.",list2
adverb_high,62,"James will fix the car he drove tomorrow, but he will need some help.","x-x-x fear pot eat met ask dozen respects, ago ad farm acid says thou.",list2
adverb_low,62,"James will fix the car he drove yesterday, but he will need some help.","x-x-x fear pot eat met ask dozen respects, ago ad farm acid says thou.",list1
adverb_high,63,"Mary called the applicant she will interview yesterday, but there was no answer.","x-x-x rising bit stationed dry wide democracy creature, ago urban him sun joined.",list1
adverb_low,63,"Mary called the applicant she will interview tomorrow, but there was no answer.","x-x-x rising bit stationed dry wide democracy creature, ago urban him sun joined.",list2
adverb_high,64,"Mike watered the flower he will sell yesterday, but he forgot to water the bush.","x-x-x realist sky forget sky sons poem channels, non arm binary non walls lie hath.",list2
adverb_low,64,"Mike watered the flower he will sell tomorrow, but he forgot to water the bush.","x-x-x realist sky forget sky sons poem channels, non arm binary non walls lie hath.",list1
adverb_high,65,"Susan bought the wine she will drink last week, but she didn't buy any cheese.","x-x-x breast arm them am mode banks edge ages, non sky impact sky map curved.",list1
adverb_low,65,"Susan bought the wine she will drink next week, but she didn't buy any cheese.","x-x-x breast arm them am mode banks edge ages, non sky impact sky map curved.",list2
adverb_high,66,"Chris cleaned the bookcase he will sell last week, but it is still very dusty.","x-x-x filters ask monogamy met evil arts poet anti, thy thy son wages tone pests.",list2
adverb_low,66,"Chris cleaned the bookcase he will sell next week, but it is still very dusty.","x-x-x filters ask monogamy met evil arts poet anti, thy thy son wages tone pests.",list1
adverb_high,67,"Mark will answer the email he got next week, but he doesn't know what to write.","x-x-x look twenty ago thorn ago sea wife core, joy thy dollars size root sky signs.",list1
adverb_low,67,"Mark will answer the email he got last week, but he doesn't know what to write.","x-x-x look twenty ago thorn ago sea wife core, joy thy dollars size root sky signs.",list2
adverb_high,68,"Cathy will burn the wood she gathered next week, but she will save some of it.","x-x-x sure sect non plus thy taxation drop tone, thy non item ones wave ran per.",list2
adverb_low,68,"Cathy will burn the wood she gathered last week, but she will save some of it.","x-x-x sure sect non plus thy taxation drop tone, thy non item ones wave ran per.",list1
adverb_high,69,"Jim painted the picture he will display last month, but he isn't happy with it.","x-x-x passive am whereas ask wife whereas farm agree, thy thy taxes coast list map.",list1
adverb_low,69,"Jim painted the picture he will display next month, but he isn't happy with it.","x-x-x passive am whereas ask wife whereas farm agree, thy thy taxes coast list map.",list2
adverb_high,70,"John hired the clerk he will promote last month, but he fired another employee.","x-x-x genes sit guilt ill rise causing hour refer, ago sun spine treated villages.",list2
adverb_low,70,"John hired the clerk he will promote next month, but he fired another employee.","x-x-x genes sit guilt ill rise causing hour refer, ago sun spine treated villages.",list1
adverb_high,71,"Bob will complete the project he started next month, but Fred won't finish his.","x-x-x sure measures sky depends net primary cell inner, joy Cord blood sports ran.",list1
adverb_low,71,"Bob will complete the project he started last month, but Fred won't finish his.","x-x-x sure measures sky depends net primary cell inner, joy Cord blood sports ran.",list2
adverb_high,72,"Kim will display the photos she took next month, but she won't show all of them.","x-x-x foot ancient eat yelled ran goal lack walls, thy sky error cent map mid seek.",list2
adverb_low,72,"Kim will display the photos she took last month, but she won't show all of them.","x-x-x foot ancient eat yelled ran goal lack walls, thy sky error cent map mid seek.",list1
and_comma,25,"The nurse examined the mother, and the child played quietly in the corner.","x-x-x liked northern sun seemed, net mid ought target possess map sat became.",list1
and_no_comma,25,"The nurse examined the mother and the child played quietly in the corner.","x-x-x liked northern sun seemed net mid ought target possess map sat became.",list2
and_comma,26,"The swimmer disappointed her coach, and her mother tried to console her.","x-x-x rougher propositions eat chaos, joy sum assume maybe do perfume die.",list2
and_no_comma,26,"The swimmer disappointed her coach and her mother tried to console her.","x-x-x rougher propositions eat chaos joy sum assume maybe do perfume die.",list1
and_comma,27,"The tourist photographed the swimmer, and the runner got ready for the race.","x-x-x arrange antagonistic sum octaves, am sum dramas thy plane bar ad none.",list1
and_no_comma,27,"The tourist photographed the swimmer and the runner got ready for the race.","x-x-x arrange antagonistic sum octaves am sum dramas thy plane bar ad none.",list2
and_comma,28,"The little girl fed her pet cat, and her dog wanted a can of food, too.","x-x-x merely send ion try ton row, map non nor result tax ago mid held, ago.",list2
and_no_comma,28,"The little girl fed her pet cat and her dog wanted a can of food, too.","x-x-x merely send ion try ton row map non nor result tax ago mid held, ago.",list1
and_comma,29,"The ranger gave matches to the camper, and his friend made a fire by the tent.","x-x-x taxing debt sliding ill am fluffy, sin ago please fund am than why nor pays.",list1 
and_no_comma,29,"The ranger gave matches to the camper and his friend made a fire by the tent.","x-x-x taxing debt sliding ill am fluffy sin ago please fund am than why nor pays.",list2
and_comma,30,"Jim listened to the pianist, and the singer watched the organist at the concert.","x-x-x pastoral dog sin evolves, net sin govern passive eat commoner sun got refusal.",list2
and_no_comma,30,"Jim listened to the pianist and the singer watched the organist at the concert.","x-x-x pastoral dog sin evolves net sin govern passive eat commoner sun got refusal.",list1
and_comma,31,"The audience applauded the guitarist, and the band cheered for him very loudly.","x-x-x whatever correlate sat sweetener, tax ago been latency bit non fact shrubs.",list1
and_no_comma,31,"The audience applauded the guitarist and the band cheered for him very loudly.","x-x-x whatever correlate sat sweetener tax ago been latency bit non fact shrubs.",list2
and_comma,32,"The producer replaced the actor, and the actress quit the movie after the fight.","x-x-x appealed machines sit elect, aid thy tending seas try chaos heavy fat among.",list2
and_no_comma,32,"The producer replaced the actor and the actress quit the movie after the fight.","x-x-x appealed machines sit elect aid thy tending seas try chaos heavy fat among.",list1
and_comma,33,"Diane hugged her boyfriend, and her friend felt uncomfortable watching them.","x-x-x caudal boy pathogens, net sun inches bear questionnaire approved slow.",list1
and_no_comma,33,"Diane hugged her boyfriend and her friend felt uncomfortable watching them.","x-x-x caudal boy pathogens net sun inches bear questionnaire approved slow.",list2
and_comma,34,"The woman dressed her baby, and her son got his clothes from the dresser.","x-x-x occur mineral buy zone, net map nor tax nor justify pain sat prepaid.",list2
and_no_comma,34,"The woman dressed her baby and her son got his clothes from the dresser.","x-x-x occur mineral buy zone net map nor tax nor justify pain sat prepaid.",list1
and_comma,35,"The juggler entertained the children, and their parents drank wine at the party.","x-x-x batters preferences sum describe, net yield besides blast wall ago why knows.",list1
and_no_comma,35,"The juggler entertained the children and their parents drank wine at the party.","x-x-x batters preferences sum describe net yield besides blast wall ago why knows.",list2
and_comma,36,"The crowd cheered for the model, and the designer took a bow after the show.","x-x-x saved benzene bed arm among, non sin embodied deal may oak units lie till.",list2
and_no_comma,36,"The crowd cheered for the model and the designer took a bow after the show.","x-x-x saved benzene bed arm among non sin embodied deal may oak units lie till.",list1
and_comma,37,"The teacher praised the girl, and her family was proud of her good grades.","x-x-x trouble drought map thou,lie sum please thy acids gas am thou insist.",list1
